citation_number,citation
14,"Rauch, R. B., & Behrens, R. (2007). Vapor Pressures, Mass Spectra and Thermal Decomposition Processes of Bis (2, 2?Dintropropyl) acetal (BDNPA) and Bis (2, 2?Dinitropropyl) formal (BDNPF). Propellants, Explosives, Pyrotechnics: An International Journal Dealing with Scientific and Technological Aspects of Energetic Materials, 32(2), 97-116."
15,"Su?eska, M., Mušani?, S. M., & Houra, I. F. (2010). Kinetics and enthalpy of nitroglycerin evaporation from double base propellants by isothermal thermogravimetry. Thermochimica acta, 510(1-2), 9-16."
16,"Hikal, W. M., Paden, J. T., & Weeks, B. L. (2011). Thermo-optical determination of vapor pressures of TNT and RDX nanofilms. Talanta, 87, 290-294."
17,"Steele, W. V., Chirico, R. D., Knipmeyer, S. E., & Nguyen, A. (2002). Vapor pressure, heat capacity, and density along the saturation line: measurements for benzenamine, butylbenzene, sec-butylbenzene, tert-butylbenzene, 2, 2-dimethylbutanoic acid, tridecafluoroheptanoic acid, 2-butyl-2-ethyl-1, 3-propanediol, 2, 2, 4-trimethyl-1, 3-pentanediol, and 1-chloro-2-propanol. Journal of Chemical & Engineering Data, 47(4), 648-666."
18,"Maher, P. J., & Smith, B. D. (1980). Vapor-liquid equilibrium data for binary systems of aniline with acetone, acetonitrile, chlorobenzene, methanol, and 1-pentene. Journal of Chemical and Engineering Data, 25(1), 61-68."
19,"Gould, C., Holzman, G., & Niemann, C. (1947). Determination of Vapor Pressure of Liquids on Milligram Scale. Analytical Chemistry, 19(3), 204-206."
20,"Palczewska-Tuli?ska, M., & Oracz, P. (2007). Vapor Pressures of 1-Methyl-2-pyrrolidone, 1-Methyl-azepan-2-one, and 1, 2-Epoxy-3-chloropropane. Journal of Chemical & Engineering Data, 52(6), 2468-2471."
21,"Chyli?ski, K., Fra?, Z., & Malanowski, S. K. (2004). Vapor? Liquid Equilibrium for Propylene Glycol+ 2-(2-Hexyloxyethoxy) ethanol and 1-Methyl-2-pyrrolidone+ 1-Methoxypropan-2-ol. Journal of Chemical & Engineering Data, 49(1), 18-23."
22,"Blanco, B., Beltrán, S., Cabezas, J. L., & Coca, J. (1997). Phase equilibria of binary systems formed by hydrocarbons from petroleum fractions and the solvents N-methylpyrrolidone and N, N-dimethylformamide. 1. Isobaric vapor? liquid equilibria. Journal of Chemical & Engineering Data, 42(5), 938-942."
23,"Linek, J., Wichterle, I., & Marsh, K. N. (1996). Vapor? liquid equilibria for N-methyl-2-pyrrolidone+ benzene,+ toluene,+ heptane, and+ methylcyclohexane. Journal of Chemical & Engineering Data, 41(6), 1212-1218."
24,"Weidlich, U., Roehm, H. J., & Gmehling, J. (1987). Measurement of. gamma.. infin. using GLC. 2. Results for the stationary phases N-formylmorpholine and N-methylpyrrolidone. Journal of Chemical and Engineering Data, 32(4), 450-453."
25,"Kneisl, P., & Zondlo, J. W. (1987). Vapor pressure, liquid density, and the latent heat of vaporization as functions of temperature for four dipolar aprotic solvents. Journal of Chemical and Engineering Data, 32(1), 11-13."
26,"Tunnell, R., & Tod, D. (2016). A new method for determining the vapor pressure of nitroglycerine above solid rocket propellants. Propellants, Explosives, Pyrotechnics, 41(1), 173-178."
27,"Bikelyt?, G., Härtel, M. A., & Klapötke, T. M. (2020). Experimental Vapor Pressures of Hexahydro?1, 3, 5?trinitro?1, 3, 5?triazine (RDX) and Hexahydro?1, 3, 5?trinitroso?1, 3, 5?triazine (TNX). Propellants, Explosives, Pyrotechnics, 45(10), 1573-1579."
28,"Fettaka, H., & Lefebvre, M. H. (2016). Propylene glycol dinitrate (PGDN) as an explosive taggant. Central European Journal of Energetic Materials, 13(3), 627-640."
29,"Hikal, W. M., & Weeks, B. L. (2014). Sublimation kinetics and diffusion coefficients of TNT, PETN, and RDX in air by thermogravimetry. Talanta, 125, 24-28."
30,"Egorshev, V. Y., Sinditskii, V. P., & Smirnov, S. P. (2013). A comparative study on two explosive acetone peroxides. Thermochimica Acta, 574, 154-161."
31,"Härtel, M. A., Klapötke, T. M., Stiasny, B., & Stierstorfer, J. (2017). Gas?phase Concentration of Triacetone Triperoxide (TATP) and Diacetone Diperoxide (DADP). Propellants, Explosives, Pyrotechnics, 42(6), 623-634."
32,"Aim, K. (1994). Saturated vapor pressure measurements on isomeric mononitrotoluenes at temperatures between 380 and 460 K. Journal of Chemical and Engineering Data, 39(3), 591-594."
33,"Sinditskii, V. P., Smirnov, S. P., Egorshev, V. Y., Chernyi, A. N., Shkineva, T. K., Palysaeva, N. V., ... & Dalinger, I. L. (2017). Thermal decomposition peculiarities and combustion behavior of nitropyrazoles. Thermochimica Acta, 651, 83-99."
34,"Morrison, K. A., Denis, E. H., Nims, M. K., Broderick, A. M., Fausey, R. C., Rose, H. J., ... & Ewing, R. G. (2021). Vapor Pressures of RDX and HMX Explosives Measured at and Near Room Temperature: 1, 3, 5-Trinitro-1, 3, 5-triazinane and 1, 3, 5, 7-Tetranitro-1, 3, 5, 7-tetrazocane. The Journal of Physical Chemistry A, 125(5), 1279-1288."
35,"Menzies, A. W. (1920). A METHOD OF MEASURING LOW VAPOR PRESSURES, WITH ITS APPLICATION TO THE CASE OF TRINITRO-TOLUENE. Journal of the American Chemical Society, 42(11), 2218-2221."
